code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
26394	9	16	19	13	12	0	0	0	15	15	0	56.30%	80	33	51.7	0.1
26448	10	16	16	18	19	0	19	9	21	20	0	84.10%	101	99	93.44	4
26647	10	16	20	18	20	19	17	9	18	18	0	93.80%	73	73	81.3	2.7
26922	10	15	20	16	20	16	19	10	12	20	0	89.80%	97	95	93.31	3.7
26957	8	15	17	18	0	19	15	10	11	20	2.33	76.90%	58	40	58.36	0.7
27115	10	16	20	19	17	18	20	8	15	20	0.33	92.80%	101	99	96.92	4
27254	9	9	19	4	11	0	6	0	0	9	0	38.10%	59	26	37.43	0
27308	9	16	18	18	16	12	13	3	16	20	0	80.10%	67	59	69.05	1.6
27343	10	15	20	20	20	19	19	10	16	20	0	96.00%	101	94	96.21	3.9
27853	7	16	14	16	17	15	16	7	16	20	0.67	82.20%	89	71	79.08	2.5
27861	10	16	18	0	16	16	16	8	12	20	0	75.00%	74	62	69.6	1.7
27961	9	16	18	18	17	17	15	9	13	20	0	86.40%	92	77	83.75	2.9
28078	9	16	15	15	10	9	10	6	17	20	0	72.20%	58	35	54.46	0
28080	9	16	19	20	19	20	19	10	18	20	0	96.60%	83	76	85.64	3.1
28084	10	16	20	20	20	20	20	9	19	20	0	98.90%	96	101	99.15	4
28111	9	16	20	20	18	19	18	9	17	20	0	94.30%	77	42	69.93	1.7
28113	10	16	20	18	15	15	18	9	20	20	0	91.50%	93	83	88.39	3.3
28182	10	13	17	16	10	9	15	8	15	20	0.33	75.80%	87	97	86.5	3.1
28209	6	15	17	5	0	0	0	0	0	3	0	26.10%	48	0	20.05	0
28337	10	16	20	19	19	16	19	9	20	20	0.33	95.60%	92	85	90.66	3.5
28348	9	16	18	17	13	18	17	9	20	20	0	89.20%	82	69	79.68	2.6
28405	9	15	19	19	15	17	16	8	15	20	0.33	87.10%	87	84	85.85	3.1
28466	9	15	0	0	0	0	0	0	20	9	0	30.10%	88	82	62.45	1.1
